name;numCrimes;crimesRelative
Söderköpings kommun;833;5700
Södertälje kommun;15411;15410
Sölvesborgs kommun;1646;9446
Tanums kommun;1008;7812
Tibro kommun;773;6867
Tidaholms kommun;913;7114
Tierps kommun;1932;9051
Timrå kommun;1629;9064
Tingsryds kommun;999;8065
Tjörns kommun;981;6076
Tomelilla kommun;1059;7739
Torsby kommun;789;6834
Torsås kommun;454;6359
Tranemo kommun;1090;9184
Tranås kommun ;1745;9229
Trelleborgs kommun;3374;7358
Trollhättans kommun;7380;12449
Trosa kommun;1044;7333
Tyresö kommun;4937;10161
Täby kommun;6437;8862
Töreboda kommun;928;10026
Uddevalla kommun;6027;10605
Ulricehamns kommun;1937;7844
Umeå kommun;10819;8306
Upplands Väsby kommun;6618;14023
Upplands-Bro kommun;3804;12639
Uppsala kommun;24473;10470
Uppvidinge kommun;679;7145
Vadstena kommun;488;6559
Vaggeryds kommun;1092;7540
Valdemarsviks kommun;444;5739
Vallentuna kommun;2756;8076
Vansbro kommun;363;5333
Vara kommun;1867;11636
Varbergs kommun;5119;7842
Vaxholms kommun;544;4581
Vellinge kommun;2011;5452
Vetlanda kommun;1663;6047
Vilhelmina kommun;570;8704
Vimmerby kommun;1070;6834
Vindelns kommun;379;6919
Vingåkers kommun;682;7451
Vårgårda kommun;952;7996
Vänersborgs kommun;4042;10204
Vännäs kommun;470;5234
Värmdö kommun;4009;8832
Värnamo kommun;3028;8767
Västerviks kommun;2813;7685
Västerås kommun;23357;15013
Växjö kommun;8864;9351
Ydre kommun;142;3805
Ystads kommun;2411;7799
Åmåls kommun;1027;8256
Ånge kommun;691;7456
Åre kommun;925;7721
Årjängs kommun;549;5481
Åsele kommun;354;12656
Åstorps kommun;1915;11948
Åtvidabergs kommun;592;5187
Älmhults kommun;1380;7709
Älvdalens kommun;502;7137
Älvkarleby kommun;902;9477
Älvsbyns kommun;565;7026
Ängelholms kommun;3522;8216
Öckerö kommun;730;5638
Ödeshögs kommun;389;7307
Örebro kommun;22940;14657
Örkelljunga kommun;1166;11181
Örnsköldsviks kommun;5275;9443
Östersunds kommun;8309;12985
Österåkers kommun;3728;8003
Östhammars kommun;1528;6879
Östra Göinge kommun;1504;10029
Överkalix kommun;296;8978
Övertorneå kommun;310;7353
